URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2025.3.20250714,active,"1.2.840.10008.6.1.19",AcquisitionModality,,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/fr-imaging-study-examen-imagerie-dicom","DICOM"
http://hl7.org/cda/stds/core/ValueSet/CDARoleCode,2.0.0-sd,draft,,CDARoleCode,CDARoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","StructureDefinition/fr-core-assigned-entity","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDASetOperator,2.0.0-sd,draft,,CDASetOperator,CDASetOperator,"Determins the intersectionality of multiple sets","StructureDefinition/fr-core-service-event,StructureDefinition/fr-core-participant","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDASignatureCode,2.0.0-sd,draft,,CDASignatureCode,CDASignatureCode,"A set of codes specifying whether and how the participant has attested his participation through a signature - limited to values allowed in original CDA definition.  **Note:** CDA Release One represented either an intended (`X`) or actual (`S`) authenticator. CDA Release Two only represents an actual authenticator, so has deprecated the value of `X`.","StructureDefinition/fr-core-authenticator,StructureDefinition/fr-core-legal-authenticator","THO (V3)"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/fr-medication-request-document,StructureDefinition/fr-medication-statement-document,StructureDefinition/fr-medication-dispense-document,StructureDefinition/fr-prescription-extension","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/fr-patient-ins-document,StructureDefinition/PatientUsager","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/fr-patient-ins-document,StructureDefinition/PatientUsager","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/fr-administration-radiopharmaceutique-dicom,StructureDefinition/fr-medication-request-document,StructureDefinition/fr-administration-produits-de-sante-dicom,StructureDefinition/fr-medication-administration-document,StructureDefinition/fr-medication-statement-document,StructureDefinition/fr-medication-dispense-document,StructureDefinition/fr-prescription-extension","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/fr-practitioner-document,StructureDefinition/fr-patient-ins-document,StructureDefinition/fr-related-person-document,StructureDefinition/fr-patient-document,StructureDefinition/fr-family-member-history","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/adverse-event-actuality,4.0.1,draft,"2.16.840.1.113883.4.642.3.831",AdverseEventActuality,AdverseEventActuality,"Overall nature of the adverse event, e.g. real or potential.","StructureDefinition/fr-effet-indesirable","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/adverse-event-causality-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.842",AdverseEventCausalityMethod,AdverseEventCausalityMethod,"TODO.","StructureDefinition/fr-effet-indesirable","THO"
http://hl7.org/fhir/ValueSet/adverse-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.844",AdverseEventSeverity,AdverseEventSeverity,"The severity of the adverse event itself, in direct relation to the subject.","StructureDefinition/fr-effet-indesirable","THO"
http://hl7.org/fhir/ValueSet/adverse-event-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.835",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all SNOMED CT Clinical Findings.","StructureDefinition/fr-effet-indesirable","SCT"
http://hl7.org/fhir/ValueSet/all-languages,4.0.1,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/fr-core-clinical-document","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.133",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","StructureDefinition/fr-allergie-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.3.129",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","StructureDefinition/fr-allergie-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.131",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","StructureDefinition/fr-allergie-intolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergyintolerance-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.1372",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","StructureDefinition/fr-allergie-intolerance","THO"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/fr-administration-radiopharmaceutique-dicom,StructureDefinition/fr-administration-produits-de-sante-dicom,StructureDefinition/fr-medication-dispense-document,StructureDefinition/fr-prescription-extension","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/fr-imaging-study-examen-imagerie-dicom,StructureDefinition/fr-en-rapport-avec-accident-travail,StructureDefinition/fr-batterie-examen-et-surveillance-prenataux,StructureDefinition/fr-observation-statut-document,StructureDefinition/fr-observation-resultat-document,StructureDefinition/fr-observation-recherche-micro-organismes,StructureDefinition/fr-acte,StructureDefinition/fr-batterie-examen-biologie-medicale,StructureDefinition/fr-non-remboursable,StructureDefinition/fr-procedurede-transport-patient,StructureDefinition/fr-observation-contexte,StructureDefinition/fr-hors-nomenclature,StructureDefinition/fr-en-rapport-avec-la-prevention,StructureDefinition/fr-observation-renouvellement,StructureDefinition/fr-observation-grossesse-document,StructureDefinition/fr-en-rapport-avec-ald,StructureDefinition/fr-observation-difficulte,StructureDefinition/fr-media-image-illustrative,StructureDefinition/fr-signes-vitaux-document,StructureDefinition/fr-condition,StructureDefinition/fr-administration-de-derives-du-sang,StructureDefinition/fr-service-request-demande-d-examen-ou-de-suivi,StructureDefinition/fr-specimen,StructureDefinition/fr-observation-groupe-questionnaires-evaluation,StructureDefinition/fr-observation-transfusion-de-produits-sanguins,StructureDefinition/fr-observation-statut,StructureDefinition/fr-observation-modalite-sortie,StructureDefinition/fr-acte-biologie-prescrit,StructureDefinition/fr-procedure-exposition-patient-dicom,StructureDefinition/fr-resultats-examens-de-biologie-element-clinique-pertinent,StructureDefinition/fr-quantity-dicom,StructureDefinition/fr-device-use-statement-medicaldevice,StructureDefinition/fr-historique-de-la-grossesse,StructureDefinition/fr-procedure-transport-Professionnel,StructureDefinition/fr-observation-isolat-microbiologique,StructureDefinition/fr-observation-synthese-medicale-sejour-document,StructureDefinition/fr-observation-sur-echelle-douleur,StructureDefinition/fr-observation-naissance-document,StructureDefinition/fr-observation-evaluation,StructureDefinition/fr-signes-vital-Observe-document,StructureDefinition/fr-observation-modalite-entree,StructureDefinition/fr-accidents-transfusionnels,StructureDefinition/fr-observation-habitus-mode-de-vie,StructureDefinition/fr-objectifs-de-reference-dicom","SCT"
http://hl7.org/fhir/ValueSet/bodysite-laterality,4.0.1,draft,"2.16.840.1.113883.4.642.3.287",Laterality,Laterality,"Laterality: SNOMED-CT concepts for 'left', 'right', and 'bilateral'","StructureDefinition/fr-imaging-study-examen-imagerie-dicom","SCT"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/fr-bundle-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/c80-doc-typecodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.47",DocumentTypeValueSet,Document Type Value Set,"This is the code specifying the precise type of document (e.g. Pulmonary History and  Physical, Discharge Summary, Ultrasound Report, etc.). The Document Type value set includes all LOINC  values listed in HITSP C80 Table 2-144 Document Class Value Set Definition above used for Document Class,  and all LOINC values whose SCALE is DOC in the LOINC database.","StructureDefinition/fr-references-externes-document,StructureDefinition/fr-document-reference","LOINC"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.67",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter, service, interaction, or treatment occurred. The value set used for Healthcare Facility Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/fr-references-externes-document,StructureDefinition/fr-document-reference","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who interacted with, treated, or provided a service to/for the patient. The value set used for clinical specialty has been limited by HITSP to the value set reproduced from HITSP C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/fr-references-externes-document,StructureDefinition/fr-document-reference","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.145",CarePlanActivityKind,Care Plan Activity Kind,"Resource types defined as part of FHIR that can be represented as in-line definitions of a care plan activity.","StructureDefinition/fr-care-plan-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-activity-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.149",CarePlanActivityOutcome,Care Plan Activity Outcome,"Example codes indicating the outcome of a care plan activity. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/fr-care-plan-document","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.146",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","StructureDefinition/fr-care-plan-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/fr-care-plan-document","SCT"
http://hl7.org/fhir/ValueSet/care-plan-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.150",CarePlanIntent,Care Plan Intent,"Codes indicating the degree of authority/intentionality associated with a care plan.","StructureDefinition/fr-care-plan-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/fr-care-plan-document,StructureDefinition/fr-allergie-intolerance,StructureDefinition/fr-diagnostic-report-document,StructureDefinition/fr-family-member-history","SCT"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/fr-organization-document,StructureDefinition/fr-practitioner-document,StructureDefinition/fr-patient-ins-document,StructureDefinition/fr-practitionerRole-document,StructureDefinition/fr-encounter-document,StructureDefinition/fr-location-document,StructureDefinition/fr-composition-document,StructureDefinition/fr-related-person-document,StructureDefinition/fr-patient-document,StructureDefinition/fr-device-document","THO"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.238",CompositionAttestationMode,CompositionAttestationMode,"The way in which a person authenticated a composition.","StructureDefinition/fr-composition-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/fr-references-externes-document,StructureDefinition/fr-composition-document,StructureDefinition/fr-document-reference","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/fr-condition","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/fr-procedure-technique-imagerie-dicom,StructureDefinition/fr-procedure-transport-Professionnel,StructureDefinition/fr-medication-request-document,StructureDefinition/fr-acte,StructureDefinition/fr-condition,StructureDefinition/fr-procedurede-transport-patient,StructureDefinition/fr-medication-statement-document,StructureDefinition/fr-procedure-exposition-patient-dicom,StructureDefinition/fr-device-request-medicaldevice","SCT"
http://hl7.org/fhir/ValueSet/condition-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.967",ConditionOutcomeCodes,Condition Outcome Codes,"Example value set for condition outcomes.","StructureDefinition/fr-family-member-history","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/fr-condition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/fr-condition","SCT"
http://hl7.org/fhir/ValueSet/consent-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.753",ConsentActionCodes,Consent Action Codes,"This value set includes sample Consent Action codes.","StructureDefinition/fr-directive-anticipee","THO"
http://hl7.org/fhir/ValueSet/consent-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.751",ConsentCategoryCodes,Consent Category Codes,"This value set includes sample Consent Directive Type codes, including several consent directive related LOINC codes; HL7 VALUE SET: ActConsentType(2.16.840.1.113883.1.11.19897); examples of US realm consent directive legal descriptions and references to online and/or downloadable forms such as the SSA-827 Authorization to Disclose Information to the Social Security Administration; and other anticipated consent directives related to participation in a clinical trial, medical procedures, reproductive procedures; health care directive (Living Will); advance directive, do not resuscitate (DNR); Physician Orders for Life-Sustaining Treatment (POLST)","StructureDefinition/fr-directive-anticipee","LOINC,THO"
http://hl7.org/fhir/ValueSet/consent-content-class,4.0.1,draft,"2.16.840.1.113883.4.642.3.747",ConsentContentClass,Consent Content Class,"This value set includes the FHIR resource types, along with some other important content class codes","StructureDefinition/fr-directive-anticipee","hl7.fhir.r4.core,Other"
http://hl7.org/fhir/ValueSet/consent-data-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.759",ConsentDataMeaning,ConsentDataMeaning,"How a resource reference is interpreted when testing consent restrictions.","StructureDefinition/fr-directive-anticipee","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-policy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1014",ConsentPolicyRuleCodes,Consent PolicyRule Codes,"This value set includes sample Regulatory consent policy types from the US and other regions.","StructureDefinition/fr-directive-anticipee","THO"
http://hl7.org/fhir/ValueSet/consent-provision-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.757",ConsentProvisionType,ConsentProvisionType,"How a rule statement is applied, such as adding additional consent or removing consent.","StructureDefinition/fr-directive-anticipee","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/consent-scope,4.0.1,draft,"2.16.840.1.113883.4.642.3.761",ConsentScopeCodes,Consent Scope Codes,"This value set includes the four Consent scope codes.","StructureDefinition/fr-directive-anticipee","THO"
http://hl7.org/fhir/ValueSet/consent-state-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.755",ConsentState,ConsentState,"Indicates the state of the consent.","StructureDefinition/fr-directive-anticipee","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/fr-organization-document,StructureDefinition/fr-practitioner-document,StructureDefinition/fr-practitionerRole-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/fr-organization-document,StructureDefinition/fr-practitioner-document,StructureDefinition/fr-practitionerRole-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/fr-organization-document","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/fr-en-rapport-avec-accident-travail,StructureDefinition/fr-batterie-examen-et-surveillance-prenataux,StructureDefinition/fr-observation-statut-document,StructureDefinition/fr-observation-resultat-document,StructureDefinition/fr-observation-recherche-micro-organismes,StructureDefinition/fr-batterie-examen-biologie-medicale,StructureDefinition/fr-non-remboursable,StructureDefinition/fr-observation-contexte,StructureDefinition/fr-hors-nomenclature,StructureDefinition/fr-en-rapport-avec-la-prevention,StructureDefinition/fr-observation-renouvellement,StructureDefinition/fr-observation-grossesse-document,StructureDefinition/fr-en-rapport-avec-ald,StructureDefinition/fr-observation-difficulte,StructureDefinition/fr-signes-vitaux-document,StructureDefinition/fr-administration-de-derives-du-sang,StructureDefinition/fr-observation-groupe-questionnaires-evaluation,StructureDefinition/fr-observation-transfusion-de-produits-sanguins,StructureDefinition/fr-observation-statut,StructureDefinition/fr-observation-modalite-sortie,StructureDefinition/fr-acte-biologie-prescrit,StructureDefinition/fr-resultats-examens-de-biologie-element-clinique-pertinent,StructureDefinition/fr-quantity-dicom,StructureDefinition/fr-historique-de-la-grossesse,StructureDefinition/fr-observation-isolat-microbiologique,StructureDefinition/fr-observation-synthese-medicale-sejour-document,StructureDefinition/fr-observation-dicom,StructureDefinition/fr-observation-sur-echelle-douleur,StructureDefinition/fr-observation-naissance-document,StructureDefinition/fr-observation-evaluation,StructureDefinition/fr-signes-vital-Observe-document,StructureDefinition/fr-observation-modalite-entree,StructureDefinition/fr-accidents-transfusionnels,StructureDefinition/fr-observation-habitus-mode-de-vie,StructureDefinition/fr-objectifs-de-reference-dicom","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/fr-medication-request-document,StructureDefinition/fr-practitionerRole-document,StructureDefinition/fr-location-document,StructureDefinition/fr-device-request-medicaldevice","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.425",ProcedureDeviceActionCodes,Procedure Device Action Codes,"Example codes indicating the change that happened to the device during the procedure.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/fr-procedure-technique-imagerie-dicom,StructureDefinition/fr-procedure-transport-Professionnel,StructureDefinition/fr-acte,StructureDefinition/fr-procedurede-transport-patient,StructureDefinition/fr-procedure-exposition-patient-dicom","SCT"
http://hl7.org/fhir/ValueSet/device-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.208",FHIRDeviceTypes,FHIR Device Types,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/fr-procedure-technique-imagerie-dicom,StructureDefinition/fr-procedure-transport-Professionnel,StructureDefinition/fr-acte,StructureDefinition/fr-procedurede-transport-patient,StructureDefinition/fr-procedure-exposition-patient-dicom,StructureDefinition/fr-device-request-medicaldevice","SCT"
http://hl7.org/fhir/ValueSet/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","StructureDefinition/fr-device-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.214",DeviceUseStatementStatus,DeviceUseStatementStatus,"A coded concept indicating the current status of the Device Usage.","StructureDefinition/fr-device-use-statement-medicaldevice","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.209",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","StructureDefinition/fr-device-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1081",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","StructureDefinition/fr-device-document","THO"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/fr-encounter-evenement-document,StructureDefinition/fr-encounter-document,StructureDefinition/fr-encounter","THO"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.235",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","StructureDefinition/fr-diagnostic-report-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/diagnostic-service-sections,4.0.1,draft,"2.16.840.1.113883.4.642.3.234",DiagnosticServiceSectionCodes,Diagnostic Service Section Codes,"This value set includes all the codes in HL7 V2 table 0074.","StructureDefinition/fr-diagnostic-report-document","THO (V2)"
